1.052611111111111108e-02	0.000000000000000000e+00	1.058978820434808461e-02
2.606250000000000233e-02	6.993006993006993001e-03	2.304048606857656001e-02
2.862555555555555686e-02	1.398601398601398600e-02	2.507026518160253639e-02
3.040444444444444574e-02	2.097902097902097987e-02	2.647503475960487004e-02
3.719305555555555559e-02	2.797202797202797200e-02	3.180596333694134942e-02
4.355333333333333279e-02	3.496503496503496761e-02	3.675772506818955621e-02
4.872499999999999748e-02	4.195804195804195974e-02	4.075381591466147729e-02
6.134027777777777135e-02	4.895104895104895187e-02	5.038875912990579270e-02
6.205416666666666720e-02	5.594405594405594401e-02	5.092925049555040856e-02
7.549861111111111356e-02	6.293706293706294308e-02	6.101438324488057258e-02
7.558277777777777651e-02	6.993006993006993521e-02	6.107696206159477642e-02
7.639222222222222247e-02	7.692307692307692735e-02	6.167844075833647799e-02
9.738694444444444265e-02	8.391608391608391948e-02	7.705851873121540019e-02
1.014224999999999988e-01	9.090909090909091161e-02	7.996671068026516005e-02
1.036744444444444441e-01	9.790209790209790375e-02	8.158289055255303623e-02
1.134300000000000030e-01	1.048951048951048959e-01	8.852950874459103447e-02
1.155622222222222190e-01	1.118881118881118880e-01	9.003601775840751331e-02
1.212163888888888874e-01	1.188811188811188801e-01	9.401063487859565027e-02
1.399533333333333185e-01	1.258741258741258862e-01	1.069735235359518671e-01
1.542666666666666631e-01	1.328671328671328644e-01	1.166639820059036659e-01
1.676972222222222197e-01	1.398601398601398704e-01	1.255931366593169007e-01
1.695286111111111160e-01	1.468531468531468487e-01	1.267985976891493061e-01
1.816016666666666612e-01	1.538461538461538547e-01	1.346734397451133103e-01
1.954716666666666547e-01	1.608391608391608329e-01	1.435680777193055202e-01
2.092208333333333559e-01	1.678321678321678390e-01	1.522272721284252672e-01
2.182061111111111285e-01	1.748251748251748172e-01	1.578025589185855226e-01
2.284822222222221977e-01	1.818181818181818232e-01	1.640989322327900402e-01
2.297502777777777894e-01	1.888111888111888015e-01	1.648700407212021490e-01
2.671505555555555578e-01	1.958041958041958075e-01	1.870471372340689331e-01
2.731991666666666596e-01	2.027972027972027858e-01	1.905328700011559850e-01
2.787161111111111089e-01	2.097902097902097918e-01	1.936882357676364963e-01
2.854866666666666664e-01	2.167832167832167700e-01	1.975295831551938941e-01
2.878288888888888564e-01	2.237762237762237760e-01	1.988505628661700608e-01
2.923594444444443941e-01	2.307692307692307820e-01	2.013942673205819656e-01
2.996922222222222487e-01	2.377622377622377603e-01	2.054794648766566922e-01
3.034972222222221960e-01	2.447552447552447663e-01	2.075838854265542599e-01
3.053472222222222143e-01	2.517482517482517723e-01	2.086032794197266171e-01
3.301525000000000154e-01	2.587412587412587506e-01	2.220358119319136014e-01
3.679786111111110758e-01	2.657342657342657288e-01	2.416979751348543870e-01
3.755019444444444576e-01	2.727272727272727071e-01	2.454939182820362331e-01
4.142163888888888978e-01	2.797202797202797409e-01	2.644473389626258442e-01
4.180749999999999744e-01	2.867132867132867191e-01	2.662843078694965837e-01
4.218933333333333424e-01	2.937062937062936974e-01	2.680929937779795713e-01
4.948933333333333517e-01	3.006993006993006756e-01	3.009894569288472654e-01
4.950416666666667131e-01	3.076923076923077094e-01	3.010531535087732080e-01
