NAME                                                       TYPE                                        TARGET                                    HTTP_STATUS  STATUS  TIMESTAMP
systemevent-1550760777668-58268a148d5d2-64ad2b03-5e765746  compute.instances.preempted                 us-central1-f/instances/arrow2            200          DONE    2019-02-21T06:52:57.668-08:00
operation-1550584319015-5823f8b877acc-7a5cde73-d88185a5    insert                                      us-central1/subnetworks/sl1-slurm-subnet  200          DONE    2019-02-19T05:51:59.762-08:00
operation-1550518864802-582304e2770f5-5e069a72-fece6318    insert                                      europe-west4-a/instances/aardvark21       200          DONE    2019-02-18T11:41:06.279-08:00
operation-1550518871535-582304e8e310d-aaab8ac0-504037bf    insert                                      europe-west4-a/instances/aardvark22       200          DONE    2019-02-18T11:41:12.828-08:00
operation-1550518878038-582304ef16851-72426f7c-d062244e    insert                                      europe-west4-a/instances/aardvark23       200          DONE    2019-02-18T11:41:19.388-08:00
operation-1550518884663-582304f567fd3-a858c49d-05e39461    insert                                      europe-west4-a/instances/aardvark24       200          DONE    2019-02-18T11:41:25.950-08:00
operation-1550518891179-582304fb9ec42-837153c8-30304b0b    insert                                      europe-west4-a/instances/aardvark25       200          DONE    2019-02-18T11:41:32.573-08:00
systemevent-1550605352842-58244713e3398-0648b14f-149fbeba  compute.instances.preempted                 europe-west4-a/instances/aardvark22       200          DONE    2019-02-19T11:42:32.842-08:00
systemevent-1550605353554-5824471491302-26cc693a-51b9508b  compute.instances.preempted                 europe-west4-a/instances/aardvark24       200          DONE    2019-02-19T11:42:33.554-08:00
systemevent-1550605353577-5824471496afe-eeff533f-99554547  compute.instances.preempted                 europe-west4-a/instances/aardvark23       200          DONE    2019-02-19T11:42:33.577-08:00
systemevent-1550605354426-58244715661ee-3eeabf44-016cd46f  compute.instances.preempted                 europe-west4-a/instances/aardvark21       200          DONE    2019-02-19T11:42:34.426-08:00
systemevent-1550605354798-58244715c0d84-8f26e82f-b4ccd589  compute.instances.preempted                 europe-west4-a/instances/aardvark25       200          DONE    2019-02-19T11:42:34.798-08:00
